pro_badge,pro_cate_url,pro_img,pro_link,pro_name,pro_price,pro_regular_price,pro_sale_price
Get 2 Pay 1,https://cpfreshmartshop.com/en/shop,https://cpfmcdn.bygodigit.net/wp-content/uploads/2020/02/12075123/23066573_F-250x250.jpg,/en/shop/cpfm-boiled-ham-400g-x6pcs,CP Freshmart Boiled Ham 400g. (Frozen),฿169.00,,
,https://cpfreshmartshop.com/en/shop,https://cpfmcdn.bygodigit.net/wp-content/uploads/2020/02/11104328/23016257_P.jpg,/en/shop/cp-egg-2-pack-30,CP Egg #2 *30,฿121.00,,
,https://cpfreshmartshop.com/en/shop,https://cpfmcdn.bygodigit.net/wp-content/uploads/2020/02/12074536/23014613_P-250x250.jpg,/en/shop/cp-chicken-boneless-breast-1000-g-frozen,CP Chicken Boneless Breast 1 kg. (Frozen),฿93.00,,
,https://cpfreshmartshop.com/en/shop,https://cpfmcdn.bygodigit.net/wp-content/uploads/2020/02/11104324/23016141_P.jpg,/en/shop/cp-egg-1-pack-30,CP Egg #1 *30,฿133.00,,
Best seller,https://cpfreshmartshop.com/en/shop,https://cpfmcdn.bygodigit.net/wp-content/uploads/2020/02/11104434/23025555_P-250x250.jpg,/en/shop/cp-pork-minced-1kg-frozen,CP Pork minced 1 kg. (Frozen),฿147.00,,
