name,lat,lng,adderss,street_id,telephone,detail,uid
中国建设银行24小时自助银行(北京保福寺支行),39.99395,116.340561,北京市海淀区中关村东路18号,18a2bfa6c85eb49c95ca07b2,,1,18a2bfa6c85eb49c95ca07b2
中国工商银行ATM(荷清苑小区东),40.017544,116.334398,北京市海淀区双清路30号清华大学,07f1be16ef53bfd940e192a1,,1,07f1be16ef53bfd940e192a1
中国建设银行ATM,40.00868,116.359767,北京市海淀区清华东路2号中国农业大学东校区南平房,397bd4a3b7a8b9544251c001,,1,397bd4a3b7a8b9544251c001
建行atm,40.002279,116.34014,华业大厦2202,a9e1560e5446c7d12a02e114,,1,a9e1560e5446c7d12a02e114
工商银行(北京分行中关村支行学院路离行式自助银行),39.999314,116.353791,学院路15号,275389131865bc5421f01784,,1,2e81b67714e5284c4557265a
北京锡华商务酒店工商自动取款机,39.995404,116.309256,颐和园路12号,,,1,a110f295f2f536d4af080f5c
北京市农村商业银行ATM(杨柳路),40.026643,116.320538,信息路33号附1号尚清圆宾馆大厅内,060f5e53136e20d7081cc76c,,1,060f5e53136e20d7081cc76c
华夏银行ATM,39.990469,116.318083,北四环西路56号辉煌时代大厦1层,b8fb8d96dc4640e30bf5eb05,,1,b8fb8d96dc4640e30bf5eb05
中国工商银行24小时自助银行(北京博雅西园支行),40.030782,116.301886,北京市海淀区农大南路10号首层,6fddd7fdfda7e97f3517dc6c,,1,6fddd7fdfda7e97f3517dc6c
中国银行24小时自助银行(信息路),40.03204,116.320467,北京市海淀区信息路38号,50f85ecc88302355a8059d90,,1,50f85ecc88302355a8059d90
北大博雅国际酒店-自动取款机,40.003708,116.319808,北京市海淀区中关村北大街127号,bbfa2ed21e344758ad0457ad,,1,bbfa2ed21e344758ad0457ad
中国农业银行24小时自助银行(北京农大南路支行),40.030738,116.306371,北京市海淀区农大南路88号泰来商务大厦一层,083a55fa3f7e1379246e986c,,1,083a55fa3f7e1379246e986c
中国农业银行ATM,39.9943,116.311438,北京市海淀区畅春园食街外街1层,b3c29eb30b6a490e3586f4d9,,1,b3c29eb30b6a490e3586f4d9
北京农商银行24小时自助银行(西苑支行),39.999669,116.300901,北京市海淀区西苑活动中心(中国中医科学院西苑医院南),af2d3c205a3af94d283a9f42,,1,af2d3c205a3af94d283a9f42
招商银行24小时自助银行(北京上地支行),40.032648,116.31953,农大南路1号,edd64ce1c951f6ec3fe23124,,1,edd64ce1c951f6ec3fe23124
交通银行ATM(中关村北大街),40.010114,116.32203,水磨新区37号,94f16d667b759be8f6c59c8e,,1,94f16d667b759be8f6c59c8e
中国工商银行24小时自助银行(北京海淀西区支行),39.992352,116.311384,北四环西路65,6b6644a91c06893e08ccddec,,1,6b6644a91c06893e08ccddec
中国银行ATM,39.993465,116.312172,海淀区颐和园路1-3号,77f4e578850261759de32182,,1,b4cb1165c7a3418249fc8d1c
中国邮政储蓄银行ATM(西苑交通枢纽),40.005648,116.297084,北京市海淀区西苑交通枢纽首层城铁四号线A口,442076466931d516deee8bc8,,1,442076466931d516deee8bc8
北京银行ATM,40.021561,116.321592,中关村北大街47号,161a0ed29598dc2e5cd4fe12,,1,161a0ed29598dc2e5cd4fe12
建设银行ATM,39.992594,116.320789,北京市海淀区海淀路50号北大资源东楼,6ec25d4a3792164b94ec848f,,1,6ec25d4a3792164b94ec848f
中国工商银行ATM,40.000411,116.29831,西苑中直机关院内,6a00c03e2f20e007d33ce323,,1,6a00c03e2f20e007d33ce323
北京银行24小时自助银行(万泉路支行),39.997023,116.303487,新建宫门路1号,d7fd2ad36fc990570accdd94,,1,d7fd2ad36fc990570accdd94
招商银行24小时自助银行(北京海淀支行),39.990376,116.318255,北四环西路56号辉煌时代大厦1层,8c1a20fe2bb41406d72ce298,,1,8c1a20fe2bb41406d72ce298
