zhuanrangfei,rental_price,pay_method,jianzhumianji,shiyongmianji,shengyuzuqi,zhuanrangfangshi,floor,zhuangxiu,building_type,shifoufenge,shihejingying,loupanmingcheng,loupandizhi,miankuan,jinshen,cenggao,elvator_number,service_price,function_list,release_date,url
,240000元/月,押一付三,1760000.00㎡,3800㎡,,,第6层(共20层),精装修,写字楼配套底商,否,酒店宾馆,环球中心商铺,成都高新区天府大道北段1700号,35.00米,25.00米,4.00米,客梯4个，货梯1个,3.00元/㎡·月,,2019/7/28 14:13:55,https://cd.shop.fang.com/zu/3_208388482.html
,99000元/月,押一付三,1800㎡,1300㎡,,,第4层(共6层),毛坯,住宅底商,否,"百货超市,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",天悦汇,成都市金牛区蓉北商贸大道二段与中环路洞子口段交汇处,99.00米,20.00米,5.20米,,5.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污",2019/8/18 17:41:49,https://cd.shop.fang.com/zu/3_208637059.html
,100000元/月,半年付,13000㎡,10000㎡,,,第1层(共11层),精装修,临街门面,否,"酒店宾馆, 家居建材, 生活服务, 百货超市, 服饰鞋包, 其他, 餐饮美食, 美容美发, 休闲娱乐",云龙酒店,草市街,40.00米,50.00米,4.00米,,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/7/10 23:27:19,https://cd.shop.fang.com/zu/3_208190096.html
,80000元/月,押一付三,1000㎡,,,,第1层(共1层),毛坯,住宅底商,否,,宜城大街二段73号,双流区宜城大街二段,5.00米,20.00米,3.30米,,1.00元/㎡·月,,2019/8/6 16:51:59,https://cd.shop.fang.com/zu/3_208494778.html
,15000元/月,租金已包含,暂无,,,,精装修,其他,否,EGO潮流广场,,客梯0个，货梯0个,3.00米,5.00米,5.00米,EGO潮流广场,16649.99㎡,20㎡,,2019/9/2 23:30:24,https://cd.shop.fang.com/zu/3_208808190.html
,15000元/月,租金已包含,暂无,,,,精装修,其他,否,银石广场商铺,,客梯30个，货梯0个,5.00米,6.00米,5.00米,银石广场商铺,100000.00㎡,35㎡,,2019/8/2 22:51:35,https://cd.shop.fang.com/zu/3_208453643.html
,9000元/月,押一付三,577940.00㎡,,,,第1层(共1层),精装修,写字楼配套底商,是,,天来国际广场,光华大道与温泉大道交叉口,10.00米,18.00米,3.30米,客梯2个，货梯0个,1.90元/㎡·月,,2019/8/6 16:34:30,https://cd.shop.fang.com/zu/3_208494556.html
,67913元/月,半年付,848.91㎡,,,,第2层(共3层),精装修,住宅底商,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",独栋物业 招文化 艺术 舞蹈 编程 机器人等培训,绿地中心,42.00米,20.00米,5.00米,,5.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/6/16 16:28:35,https://cd.shop.fang.com/zu/3_207947923.html
,50755元/月,押一付三,390.42㎡,309.2㎡,,,第1层(共5层),毛坯,住宅底商,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐,其他",洲际春天广场 亚洲湾 地铁铺 无中介费,温泉大道二段177号,10.00米,18.00米,6.00米,,4.50元/㎡·月,"停车位,客梯,上水,下水,排烟,排污,燃气,外摆区",2019/7/21 15:33:37,https://cd.shop.fang.com/zu/3_208309315.html
,66000元/月,租金已包含,1999-01-01,,,,精装修,其他,否,九龙广场,,客梯8个，货梯4个,12.00米,10.00米,2.00米,九龙广场,98594.00㎡,120㎡,,2019/8/2 22:42:40,https://cd.shop.fang.com/zu/3_208453565.html
,500元/月,押一付三,1760000.00㎡,,,,第1层(共2层),毛坯,商业街商铺,是,,环球中心商铺,成都高新区天府大道北段1700号,15.00米,15.00米,7.90米,客梯4个，货梯1个,14.00元/㎡·月,,2019/8/17 14:09:32,https://cd.shop.fang.com/zu/3_208622202.html
,15000元/月,租金已包含,1999-01-01,,,,精装修,其他,否,九龙广场,,客梯8个，货梯4个,1.00米,1.00米,1.00米,九龙广场,98594.00㎡,45㎡,,2019/9/2 23:35:07,https://cd.shop.fang.com/zu/3_208808207.html
,15000元/月,租金已包含,暂无,,,,精装修,其他,否,银石广场商铺,,客梯30个，货梯0个,5.00米,6.00米,5.00米,银石广场商铺,100000.00㎡,35㎡,,2019/8/2 22:51:18,https://cd.shop.fang.com/zu/3_208453642.html
,8000元/月,押一付三,16649.99㎡,12㎡,,,第1层(共11层),精装修,商业街商铺,否,"百货超市,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",EGO潮流广场,春熙路上东大街133号,3.00米,4.00米,5.00米,客梯0个，货梯0个,5.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/14 15:29:34,https://cd.shop.fang.com/zu/3_208584883.html
,12500元/月,年付,7320.00㎡,20㎡,,,第1层(共6层),精装修,商业街商铺,是,服饰鞋包,蓝光金荷花,北站东一路18号,5.00米,4.00米,4.00米,客梯1个，货梯1个,8.00元/㎡·月,"暖气,客梯,货梯,扶梯,中央空调,外摆区",2019/6/19 17:42:19,https://cd.shop.fang.com/zu/3_207976238.html
,200元/月,面议,1760000.00㎡,,,,第1层(共2层),毛坯,商业街商铺,否,"百货超市,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",环球中心商铺,成都高新区天府大道北段1700号,10.00米,20.00米,7.90米,客梯4个，货梯1个,14.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,中央空调,上水,下水,可明火,排烟,排污,燃气",2019/8/15 11:49:47,https://cd.shop.fang.com/zu/3_208594548.html
,565500元/月,面议,14500㎡,,,,第1层(共6层),精装修,其他,否,学、校，医院,邻里中心,邻里中心,100.00米,100.00米,6.00米,,租金已包含,"网络,暖气,停车位,客梯,货梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/9/7 16:03:47,https://cd.shop.fang.com/zu/3_208871779.html
,8800元/月,押一付三,80㎡,,,,第1层(共2层),毛坯,住宅底商,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",滨河春天,滨河春天,8.00米,10.00米,4.50米,,5.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/31 18:37:49,https://cd.shop.fang.com/zu/3_208785772.html
,8000元/月,押一付三,16649.99㎡,20㎡,,,第1层(共8层),精装修,商业街商铺,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",EGO潮流广场,春熙路上东大街133号,4.00米,5.00米,5.00米,客梯0个，货梯0个,5.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/9/3 15:26:54,https://cd.shop.fang.com/zu/3_208814891.html
,15000元/月,租金已包含,暂无,,,,精装修,其他,否,银石广场商铺,,客梯30个，货梯0个,4.00米,5.00米,6.00米,银石广场商铺,100000.00㎡,25㎡,,2019/8/2 22:47:18,https://cd.shop.fang.com/zu/3_208453607.html
,66000元/月,租金已包含,1999-01-01,,,,精装修,其他,否,九龙广场,,客梯8个，货梯4个,12.00米,10.00米,2.00米,九龙广场,98594.00㎡,120㎡,,2019/8/2 22:42:47,https://cd.shop.fang.com/zu/3_208453566.html
,11000元/月,半年付,16649.99㎡,24㎡,,,第1层(共1层),精装修,商业街商铺,否,时尚潮流,EGO潮流广场,春熙路上东大街133号,4.00米,5.00米,5.00米,客梯0个，货梯0个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调",2019/8/2 10:28:31,https://cd.shop.fang.com/zu/3_208440598.html
,42900元/月,押一付三,1650㎡,1600㎡,,,第10层(共20层),精装修,商业街商铺,否,酒店宾馆,航空港,航空港,35.00米,18.00米,4.00米,,1.00元/㎡·月,,2019/9/9 21:43:18,https://cd.shop.fang.com/zu/3_208899444.html
,130元/月,年付,290.77㎡,,,,第1层(共35层),毛坯,住宅底商,是,,光华大道洲际春天广场 亚洲湾 地铁口商铺 住宅底商,温泉大道二段177号,9.90米,17.00米,6.00米,,4.50元/㎡·月,"上水,下水,排污,外摆区",2019/7/21 12:06:07,https://cd.shop.fang.com/zu/3_208306892.html
,12000元/月,押一付三,40000.00㎡,14㎡,,,第-1层(共5层),精装修,商业街商铺,否,,春熙village,东大街上东大街段111号,3.00米,3.00米,4.80米,客梯7个，货梯2个,20.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,外摆区",2019/8/22 13:34:38,https://cd.shop.fang.com/zu/3_208674498.html
,110元/月,半年付,0.00㎡,,,,第2层(共2层),简装修,商业街商铺,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",泛悦城市广场商铺,2.5环昭觉寺南路（昭觉寺横路段）,10.00米,10.00米,6.00米,客梯0个，货梯0个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,排烟,排污,燃气",2019/6/15 17:33:33,https://cd.shop.fang.com/zu/3_207937577.html
,65000元/月,押一付三,0.00㎡,,,,第3层(共3层),简装修,写字楼配套底商,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",百悦城plus商铺,大面街道新建路118号,30.00米,30.00米,6.00米,客梯0个，货梯0个,5.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/28 9:51:07,https://cd.shop.fang.com/zu/3_208739813.html
,10000元/月,租金已包含,暂无,,,,精装修,商业街商铺,否,EGO潮流广场,,客梯0个，货梯0个,4.00米,4.00米,4.00米,EGO潮流广场,16649.99㎡,24㎡,,2019/8/2 22:49:22,https://cd.shop.fang.com/zu/3_208453623.html
,40000元/月,租金已包含,1999-01-01,,,,精装修,其他,否,九龙广场,,客梯8个，货梯4个,12.00米,10.00米,5.50米,九龙广场,98594.00㎡,120㎡,,2019/8/2 22:46:39,https://cd.shop.fang.com/zu/3_208453598.html
,110元/月,押一付三,366.95㎡,,,,第1层(共3层),简装修,商业街商铺,是,,科华北路,科华北路,9.50米,25.50米,6.00米,,18.00元/㎡·月,,2019/8/13 18:39:04,https://cd.shop.fang.com/zu/3_208576485.html
,80元/月,租金已包含,1999-01-01,,,,精装修,其他,否,九龙广场,,客梯8个，货梯4个,40.00米,50.00米,5.00米,九龙广场,98594.00㎡,2000㎡,,2019/9/2 23:48:00,https://cd.shop.fang.com/zu/3_208808241.html
8万元,32000元/月,半年付,200㎡,199㎡,60个月,带设备转让,第1层(共1层),简装修,商业街商铺,否,,洪山北路,洪山北路,10.00米,20.00米,6.00米,,租金已包含,,2019/8/26 21:30:47,https://cd.shop.fang.com/zu/3_208726670.html
,290元/月,押一付三,1760000.00㎡,,,,第1层(共2层),简装修,商业街商铺,否,,环球中心商铺,成都高新区天府大道北段1700号,10.00米,20.00米,7.00米,客梯4个，货梯1个,14.00元/㎡·月,,2019/9/2 17:52:38,https://cd.shop.fang.com/zu/3_208805927.html
,16000元/月,租金已包含,1999-01-01,,,,精装修,商业街商铺,否,九龙广场,,客梯8个，货梯4个,5.00米,6.00米,6.00米,九龙广场,98594.00㎡,30㎡,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,外摆区",2019/7/31 20:34:09,https://cd.shop.fang.com/zu/3_208425081.html
,8000元/月,半年付,100㎡,90㎡,,,第1层(共1层),毛坯,临街门面,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",滨河春天CITY PARK 置信逸都,红光大道,9.00米,10.00米,4.50米,,3.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/9/3 14:04:34,https://cd.shop.fang.com/zu/3_208813520.html
,100元/月,租金已包含,暂无,,,,精装修,其他,否,富力天汇MALL,,客梯21个，货梯4个,30.00米,66.00米,5.00米,富力天汇MALL,61000.00㎡,2500㎡,,2019/8/2 22:42:34,https://cd.shop.fang.com/zu/3_208453564.html
,130元/月,半年付,75㎡,71㎡,,,第1层(共35层),毛坯,住宅底商,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐,其他",光华大道洲际春天广场 亚洲湾 地铁口商铺 住宅底商,温泉大道二段177号,6.00米,17.00米,6.00米,,4.50元/㎡·月,"上水,下水",2019/7/20 17:17:48,https://cd.shop.fang.com/zu/3_208299653.html
,61600元/月,面议,220㎡,,,,第1层(共3层),毛坯,临街门面,否,"百货超市,服饰鞋包,生活服务,美容美发,休闲娱乐",和雅嘉御,和雅嘉御,10.00米,15.00米,6.00米,,10.00元/㎡·月,"中央空调,上水,下水,可明火,排烟,排污,燃气",2019/8/12 17:53:47,https://cd.shop.fang.com/zu/3_208565748.html
,20000元/月,押一付三,98594.00㎡,59㎡,,,第1层(共12层),精装修,商业街商铺,是,服饰鞋包,九龙广场,成都市青年路8号,6.00米,10.00米,5.00米,客梯8个，货梯4个,10.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/9/4 16:27:52,https://cd.shop.fang.com/zu/3_208828561.html
,43400元/月,押二付三,620㎡,,,,第2层(共4层),毛坯,写字楼配套底商,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",金牛凯德教育城,星河路,31.00米,20.00米,6.00米,,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气",2019/6/15 16:30:12,https://cd.shop.fang.com/zu/3_207936534.html
,7500元/月,押一付三,86㎡,,,,第1层(共2层),简装修,住宅底商,是,"百货超市,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",面源素,龙爪堰地铁,4.00米,18.00米,4.80米,,4.00元/㎡·月,"网络,停车位,中央空调,上水,下水,可明火,排烟,排污,外摆区",2019/8/17 10:57:15,https://cd.shop.fang.com/zu/3_208619417.html
,50000元/月,面议,100000.00㎡,450㎡,,,第8层(共32层),精装修,其他,否,办公-健身房瑜伽,银石广场商铺,红星路三段99号,4.00米,20.00米,5.00米,客梯30个，货梯0个,租金已包含,"网络,暖气,停车位,货梯,扶梯,中央空调,上水,下水,燃气",2019/9/6 17:38:33,https://cd.shop.fang.com/zu/3_208857606.html
,100元/月,半年付,145.48㎡,,,,第1层(共32层),毛坯,住宅底商,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐,其他",温江光华大道新城中心地铁现铺，无中介费!,温泉大道二段177号,6.30米,17.00米,6.00米,,4.50元/㎡·月,"上水,下水,排污,外摆区",2019/7/21 16:36:38,https://cd.shop.fang.com/zu/3_208310363.html
,73000元/月,租金已包含,1999-01-01,,,,精装修,其他,否,九龙广场,,客梯8个，货梯4个,10.00米,13.00米,6.00米,九龙广场,98594.00㎡,130㎡,,2019/8/2 22:44:54,https://cd.shop.fang.com/zu/3_208453584.html
,166660元/月,押一付三,18000㎡,17000㎡,,,第1层(共3层),精装修,商业街商铺,否,"生活服务,其他",三圣乡农家乐,三圣乡,45.00米,30.00米,5.00米,,2.00元/㎡·月,,2019/7/1 23:18:20,https://cd.shop.fang.com/zu/3_206950482.html
,25000元/月,租金已包含,暂无,,,,精装修,其他,否,群光广场,,客梯1个，货梯0个,11.00米,6.00米,5.00米,群光广场,187000.00㎡,80㎡,,2019/9/2 23:49:00,https://cd.shop.fang.com/zu/3_208808246.html
,13500元/月,押一付三,577940.00㎡,,,,第1层(共1层),精装修,写字楼配套底商,是,,天来国际广场,光华大道与温泉大道交叉口,10.00米,27.00米,3.30米,客梯2个，货梯0个,1.90元/㎡·月,,2019/8/6 16:29:55,https://cd.shop.fang.com/zu/3_208494512.html
18万元,28000元/月,面议,500㎡,,36个月,空转,第1层(共3层),精装修,临街门面,否,"酒店宾馆,餐饮美食,休闲娱乐",翘脚牛肉,抚琴小区,10.00米,8.00米,5.00米,,租金已包含,"网络,暖气,停车位,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气",2019/7/11 10:23:49,https://cd.shop.fang.com/zu/3_208191808.html
,10000元/月,押一付三,16649.99㎡,16㎡,,,第1层(共11层),精装修,商业街商铺,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,休闲娱乐",EGO潮流广场,春熙路上东大街133号,4.00米,4.00米,5.00米,客梯0个，货梯0个,35.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/9/5 14:33:53,https://cd.shop.fang.com/zu/3_208840109.html
8万元,32000元/月,半年付,200㎡,199㎡,60个月,带设备转让,第1层(共1层),简装修,商业街商铺,否,,洪山北路,洪山北麓,10.00米,20.00米,6.00米,,租金已包含,,2019/8/26 21:23:16,https://cd.shop.fang.com/zu/3_208726643.html
,10000元/月,押一付三,16649.99㎡,16㎡,,,第1层(共11层),精装修,商业街商铺,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",EGO潮流广场,春熙路上东大街133号,4.00米,4.00米,5.00米,客梯0个，货梯0个,5.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/9/10 16:07:20,https://cd.shop.fang.com/zu/3_208907584.html
,16800元/月,租金已包含,暂无,,,,精装修,其他,否,银石广场商铺,,客梯30个，货梯0个,4.00米,5.00米,5.00米,银石广场商铺,100000.00㎡,21㎡,,2019/9/2 23:54:44,https://cd.shop.fang.com/zu/3_208808265.html
,160元/月,押一付三,80.98㎡,,,,第1层(共20层),简装修,住宅底商,否,,润富国际,成都市武侯区交子大道,15.00米,5.00米,6.00米,,6.00元/㎡·月,,2019/8/9 14:20:00,https://cd.shop.fang.com/zu/3_208526968.html
,128元/月,半年付,130000.00㎡,,,,第2层(共2层),简装修,商业街商铺,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",飞大壹号广场商铺,成都市金牛区一环路北三段100号（一环路与解放路交汇处，一环路内侧）,10.00米,15.00米,6.00米,客梯0个，货梯0个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/6/18 16:59:32,https://cd.shop.fang.com/zu/3_207965618.html
,99000元/月,半年付,1800㎡,1500㎡,,,第4层(共26层),毛坯,商业街商铺,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",金牛区交大路洞子口五块石,沙河源,50.00米,36.00米,5.00米,,5.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/18 11:06:47,https://cd.shop.fang.com/zu/3_208632106.html
,95元/月,面议,1500㎡,1200㎡,,,第3层(共4层),毛坯,住宅底商,否,"生活服务,美容美发,餐饮美食",棕北国际,棕北国际,60.00米,20.00米,4.80米,,5.00元/㎡·月,"网络,停车位,客梯,货梯,中央空调,上水,下水,可明火,排烟,排污,燃气",2019/8/20 17:52:09,https://cd.shop.fang.com/zu/3_208655644.html
,100元/月,押二付三,1760000.00㎡,,,,第1层(共2层),简装修,写字楼配套底商,是,"百货超市,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",环球中心商铺,成都高新区天府大道北段1700号,20.00米,20.00米,7.90米,客梯4个，货梯1个,14.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,中央空调,上水,下水,可明火,排烟,排污,燃气",2019/8/19 14:06:33,https://cd.shop.fang.com/zu/3_208643340.html
,202100元/月,押一付三,4700㎡,4500㎡,,,第1层(共7层),,商业街商铺,否,酒店宾馆,宽窄巷子,宽窄巷子,35.00米,18.00米,4.00米,,1.00元/㎡·月,,2019/8/29 19:41:13,https://cd.shop.fang.com/zu/3_208761550.html
,41493元/月,押一付三,319.18㎡,270.2㎡,,,第1层(共3层),毛坯,住宅底商,是,"百货超市,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐,其他",洲际春天广场,温泉大道二段177号,10.00米,24.00米,6.00米,,4.50元/㎡·月,"停车位,上水,下水,排烟,排污,燃气,外摆区",2019/7/18 11:27:08,https://cd.shop.fang.com/zu/3_208269644.html
,25000元/月,租金已包含,暂无,,,,精装修,其他,否,群光广场,,客梯1个，货梯0个,11.00米,6.00米,5.00米,群光广场,187000.00㎡,80㎡,,2019/8/2 22:44:55,https://cd.shop.fang.com/zu/3_208453585.html
,10000元/月,押一付三,100000.00㎡,16㎡,,,第1层(共12层),精装修,商业街商铺,否,"百货超市,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",银石广场商铺,红星路三段99号,4.00米,4.00米,5.00米,客梯30个，货梯0个,5.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/9/6 10:50:25,https://cd.shop.fang.com/zu/3_208850504.html
,15000元/月,租金已包含,暂无,,,,精装修,其他,否,银石广场商铺,,客梯30个，货梯0个,4.00米,5.00米,6.00米,银石广场商铺,100000.00㎡,25㎡,,2019/8/2 22:47:14,https://cd.shop.fang.com/zu/3_208453606.html
,260000元/月,押一付三,462527.15㎡,1900㎡,,,第2层(共24层),毛坯,住宅底商,否,"酒店宾馆,休闲娱乐",清凤时代城商铺,剑南大道中段716号,30.00米,60.00米,10.00米,客梯16个，货梯0个,1.00元/㎡·月,"上水,下水",2019/7/18 19:55:04,https://cd.shop.fang.com/zu/3_207171106.html
,10000元/月,押一付三,100000.00㎡,20㎡,,,第1层(共11层),精装修,商业街商铺,否,"百货超市,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",银石广场商铺,红星路三段99号,4.00米,5.00米,5.00米,客梯30个，货梯0个,5.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/20 21:26:27,https://cd.shop.fang.com/zu/3_208657455.html
,10000元/月,租金已包含,暂无,,,,精装修,其他,否,EGO潮流广场,,客梯0个，货梯0个,5.00米,4.00米,3.00米,EGO潮流广场,16649.99㎡,25㎡,,2019/9/2 23:33:03,https://cd.shop.fang.com/zu/3_208808201.html
,80000元/月,面议,1760000.00㎡,,,,第1层(共2层),毛坯,商业街商铺,否,"百货超市,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",环球中心商铺,成都高新区天府大道北段1700号,10.00米,20.00米,7.90米,客梯4个，货梯1个,14.00元/㎡·月,"网络,停车位,客梯,货梯,中央空调,上水,下水,可明火,排烟,排污,燃气",2019/8/15 11:44:09,https://cd.shop.fang.com/zu/3_208594418.html
,50000元/月,租金已包含,1999-01-01,,,,精装修,其他,否,九龙广场,,客梯8个，货梯4个,1.00米,1.00米,1.00米,九龙广场,98594.00㎡,130㎡,,2019/8/2 22:41:55,https://cd.shop.fang.com/zu/3_208453557.html
,270000元/月,押一付三,7777㎡,7500㎡,,,第2层(共6层),精装修,住宅底商,否,酒店宾馆,火车南站,上锦雅筑,26.00米,15.00米,4.00米,,1.00元/㎡·月,,2019/7/22 20:53:21,https://cd.shop.fang.com/zu/3_208321902.html
,80000元/月,押二付三,1760000.00㎡,,,,第1层(共2层),简装修,临街门面,是,"百货超市,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",环球中心商铺,成都高新区天府大道北段1700号,10.00米,20.00米,7.90米,客梯4个，货梯1个,14.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/9/5 17:48:08,https://cd.shop.fang.com/zu/3_208843936.html
,47300元/月,半年付,215㎡,200㎡,,,第1层(共1层),毛坯,临街门面,否,"百货超市,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",五大花园双楠红牌楼鹭岛国际,五大花园,20.00米,10.00米,6.00米,,5.00元/㎡·月,"网络,暖气,停车位,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/9/6 10:04:05,https://cd.shop.fang.com/zu/3_208849169.html
,855000元/月,半年付,0.00㎡,14000㎡,,,第1层(共7层),,购物中心/百货,否,"酒店宾馆,餐饮美食,休闲娱乐",华商金融中心,高新区金融城交子大道（天府国际金融中心旁）,38.00米,25.00米,4.00米,客梯0个，货梯0个,2.00元/㎡·月,,2019/9/3 13:17:24,https://cd.shop.fang.com/zu/3_208812980.html
,10000元/月,租金已包含,1999-01-01,,,,精装修,其他,否,九龙广场,,客梯8个，货梯4个,4.00米,5.00米,5.00米,九龙广场,98594.00㎡,30㎡,,2019/8/2 22:41:01,https://cd.shop.fang.com/zu/3_208453552.html
,327600元/月,押一付三,0.00㎡,7000㎡,,,第1层(共13层),精装修,商业街商铺,否,酒店宾馆,桐梓林壹号,成都市高新区盛和二路168号,30.00米,25.00米,5.00米,客梯0个，货梯0个,3.00元/㎡·月,,2019/7/2 6:18:36,https://cd.shop.fang.com/zu/3_208101842.html
,27329元/月,半年付,390.42㎡,310.81㎡,,,第3层(共5层),毛坯,住宅底商,是,,洲际春天广场 亚洲湾 地铁旺铺 学校旺铺,温泉大道二段177号,16.00米,23.80米,4.50米,,4.50元/㎡·月,"停车位,客梯,上水,下水,排烟,排污,外摆区",2019/7/12 12:00:00,https://cd.shop.fang.com/zu/3_208205785.html
,10000元/月,租金已包含,暂无,,,,精装修,购物中心/百货,否,EGO潮流广场,,客梯0个，货梯0个,4.00米,4.00米,4.00米,EGO潮流广场,16649.99㎡,24㎡,,2019/9/2 23:38:07,https://cd.shop.fang.com/zu/3_208808216.html
,12000元/月,租金已包含,暂无,,,,精装修,其他,否,银石广场商铺,,客梯30个，货梯0个,5.00米,3.00米,5.00米,银石广场商铺,100000.00㎡,30㎡,,2019/9/2 23:29:51,https://cd.shop.fang.com/zu/3_208808188.html
,20000元/月,半年付,500㎡,,,,第3层(共3层),简装修,住宅底商,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",融创凯旋公馆,润丰路 蓝光花耍街 西部新兴商贸市场,25.00米,20.00米,6.00米,,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气",2019/6/19 11:00:36,https://cd.shop.fang.com/zu/3_207971528.html
,306000元/月,押一付三,4500㎡,4300㎡,,,第6层(共12层),精装修,商业街商铺,否,酒店宾馆,春熙路,太古里,60.00米,70.00米,4.00米,,3.00元/㎡·月,,2019/7/21 8:56:54,https://cd.shop.fang.com/zu/3_207245726.html
,100元/月,半年付,150.86㎡,,,,第1层(共2层),毛坯,住宅底商,是,,温江光华大道新城中心地铁现铺，无中介费!,温泉大道二段177号,6.30米,18.00米,6.00米,,4.50元/㎡·月,"上水,下水,排烟,外摆区",2019/7/21 15:49:02,https://cd.shop.fang.com/zu/3_208309567.html
,30000元/月,租金已包含,1999-01-01,,,,精装修,其他,否,九龙广场,,客梯8个，货梯4个,5.00米,6.00米,6.00米,九龙广场,98594.00㎡,35㎡,,2019/9/2 23:50:15,https://cd.shop.fang.com/zu/3_208808250.html
