zhuanrangfei,rental_price,pay_method,jianzhumianji,shiyongmianji,shengyuzuqi,zhuanrangfangshi,floor,zhuangxiu,building_type,shifoufenge,shihejingying,loupanmingcheng,loupandizhi,miankuan,jinshen,cenggao,elvator_number,service_price,function_list,release_date,url
,12000元/月,押三付一,40000.00㎡,14㎡,,,第-1层(共6层),简装修,商业街商铺,否,餐饮美食,春熙village,东大街上东大街段111号,3.00米,3.30米,4.80米,客梯7个，货梯2个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,排烟,排污,外摆区",2019/8/22 11:53:04,https://cd.shop.fang.com/zu/3_208673361.html
,70元/月,半年付,10000.00㎡,,,,第2层(共2层),简装修,商业街商铺,是,教育培训,交大路42号,交大路42号,30.00米,45.00米,6.00米,客梯0个，货梯0个,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,排烟,排污,燃气",2019/6/18 17:13:31,https://cd.shop.fang.com/zu/3_207965811.html
,401200元/月,押一付三,5900㎡,5200㎡,,,第1层(共7层),,商业街商铺,否,,顺城大街,正府街,30.00米,20.00米,4.00米,,1.00元/㎡·月,,2019/7/1 23:18:35,https://cd.shop.fang.com/zu/3_206933229.html
,20000元/月,年付,7320.00㎡,,,,第2层(共6层),精装修,商业街商铺,是,服饰鞋包,蓝光金荷花,北站东一路18号,3.00米,3.00米,4.00米,客梯1个，货梯1个,1.80元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,外摆区",2019/6/21 10:57:52,https://cd.shop.fang.com/zu/3_207994279.html
,368000元/月,押一付三,98594.00㎡,4500㎡,,,第1层(共25层),精装修,购物中心/百货,否,"百货超市,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",九龙广场,成都市青年路8号,50.00米,90.00米,5.00米,客梯8个，货梯4个,10.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/8/25 10:09:48,https://cd.shop.fang.com/zu/3_208709040.html
,80元/月,半年付,248㎡,,,,第1层(共2层),毛坯,住宅底商,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",高新西区,滨河春天,30.00米,10.00米,5.00米,,租金已包含,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",2019/9/4 11:31:27,https://cd.shop.fang.com/zu/3_208823631.html
8万元,32000元/月,半年付,200㎡,199㎡,60个月,带设备转让,第1层(共1层),简装修,商业街商铺,否,,洪山北路,洪山北路,10.00米,20.00米,6.00米,,租金已包含,,2019/8/26 21:28:46,https://cd.shop.fang.com/zu/3_208726661.html
,19350元/月,押二付三,215㎡,190㎡,,,第21层(共26层),精装修,住宅底商,是,"百货超市,酒店宾馆,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",盐市口 阳光金融大厦,东大街 春熙路 天府广场 一环路 交通路7号,10.00米,19.00米,4.20米,,21.00元/㎡·月,"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水",2019/9/11 9:23:59,https://cd.shop.fang.com/zu/3_208912268.html
,11000元/月,租金已包含,暂无,,,,精装修,其他,否,EGO潮流广场,,客梯0个，货梯0个,4.00米,5.00米,5.00米,EGO潮流广场,16649.99㎡,24㎡,,2019/9/2 23:34:38,https://cd.shop.fang.com/zu/3_208808206.html
,85000元/月,押一付三,800㎡,780㎡,,,第1层(共1层),,住宅底商,否,"餐饮美食,休闲娱乐",丽都路,丽都路,12.00米,20.00米,5.00米,,2.00元/㎡·月,,2019/7/5 8:02:08,https://cd.shop.fang.com/zu/3_208132608.html
